ptr_nvnCommandBufferSetInnerTessellationLevels 0x61720ff4
ptr_nvnCommandBufferSetOuterTessellationLevels 0x61720ff8
ptr_nvnCommandBufferSetPrimitiveRestart 0x61720ffc
ptr_nvnCommandBufferBeginTransformFeedback 0x61721000
ptr_nvnCommandBufferEndTransformFeedback 0x61721004
ptr_nvnCommandBufferPauseTransformFeedback 0x61721008
ptr_nvnCommandBufferResumeTransformFeedback 0x6172100c
ptr_nvnCommandBufferDrawTransformFeedback 0x61721010
ptr_nvnCommandBufferDrawArrays 0x61721014
ptr_nvnCommandBufferDrawElements 0x61721018
ptr_nvnCommandBufferDrawElementsBaseVertex 0x6172101c
ptr_nvnCommandBufferDrawArraysInstanced 0x61721020
ptr_nvnCommandBufferDrawElementsInstanced 0x61721024
ptr_nvnCommandBufferDrawArraysIndirect 0x61721028
ptr_nvnCommandBufferDrawElementsIndirect 0x6172102c
ptr_nvnCommandBufferMultiDrawArraysIndirectCount 0x61721030
ptr_nvnCommandBufferMultiDrawElementsIndirectCount 0x61721034
ptr_nvnCommandBufferClearColor 0x61721038
ptr_nvnCommandBufferClearColori 0x6172103c
ptr_nvnCommandBufferClearColorui 0x61721040
ptr_nvnCommandBufferClearDepthStencil 0x61721044
ptr_nvnCommandBufferDispatchCompute 0x61721048
ptr_nvnCommandBufferDispatchComputeIndirect 0x6172104c
ptr_nvnCommandBufferSetViewport 0x61721050
ptr_nvnCommandBufferSetViewports 0x61721054
ptr_nvnCommandBufferSetViewportSwizzles 0x61721058
ptr_nvnCommandBufferSetScissor 0x6172105c
ptr_nvnCommandBufferSetScissors 0x61721060
ptr_nvnCommandBufferSetDepthRange 0x61721064
ptr_nvnCommandBufferSetDepthBounds 0x61721068
ptr_nvnCommandBufferSetDepthRanges 0x6172106c
ptr_nvnCommandBufferSetTiledCacheAction 0x61721070
ptr_nvnCommandBufferSetTiledCacheTileSize 0x61721074
ptr_nvnCommandBufferBindSeparateTexture 0x61721078
ptr_nvnCommandBufferBindSeparateSampler 0x6172107c
ptr_nvnCommandBufferBindSeparateTextures 0x61721080
ptr_nvnCommandBufferBindSeparateSamplers 0x61721084
ptr_nvnCommandBufferSetStencilValueMask 0x61721088
ptr_nvnCommandBufferSetStencilMask 0x6172108c
ptr_nvnCommandBufferSetStencilRef 0x61721090
ptr_nvnCommandBufferSetBlendColor 0x61721094
ptr_nvnCommandBufferSetPointSize 0x61721098
ptr_nvnCommandBufferSetLineWidth 0x6172109c
ptr_nvnCommandBufferSetPolygonOffsetClamp 0x617210a0
ptr_nvnCommandBufferSetAlphaRef 0x617210a4
ptr_nvnCommandBufferSetSampleMask 0x617210a8
ptr_nvnCommandBufferSetRasterizerDiscard 0x617210ac
ptr_nvnCommandBufferSetDepthClamp 0x617210b0
ptr_nvnCommandBufferSetConservativeRasterEnable 0x617210b4
ptr_nvnCommandBufferSetConservativeRasterDilate 0x617210b8
ptr_nvnCommandBufferSetSubpixelPrecisionBias 0x617210bc
ptr_nvnCommandBufferCopyBufferToTexture 0x617210c0
ptr_nvnCommandBufferCopyTextureToBuffer 0x617210c4
ptr_nvnCommandBufferCopyTextureToTexture 0x617210c8
ptr_nvnCommandBufferCopyBufferToBuffer 0x617210cc
ptr_nvnCommandBufferClearBuffer 0x617210d0
ptr_nvnCommandBufferClearTexture 0x617210d4
ptr_nvnCommandBufferClearTexturei 0x617210d8
ptr_nvnCommandBufferClearTextureui 0x617210dc
ptr_nvnCommandBufferUpdateUniformBuffer 0x617210e0
ptr_nvnCommandBufferReportCounter 0x617210e4
ptr_nvnCommandBufferResetCounter 0x617210e8
ptr_nvnCommandBufferReportValue 0x617210ec
ptr_nvnCommandBufferSetRenderEnable 0x617210f0
ptr_nvnCommandBufferSetRenderEnableConditional 0x617210f4
ptr_nvnCommandBufferSetRenderTargets 0x617210f8
ptr_nvnCommandBufferDiscardColor 0x617210fc
ptr_nvnCommandBufferDiscardDepthStencil 0x61721100
ptr_nvnCommandBufferDownsample 0x61721104
ptr_nvnCommandBufferTiledDownsample 0x61721108
ptr_nvnCommandBufferDownsampleTextureView 0x6172110c
ptr_nvnCommandBufferTiledDownsampleTextureView 0x61721110
ptr_nvnCommandBufferBarrier 0x61721114
ptr_nvnCommandBufferWaitSync 0x61721118
ptr_nvnCommandBufferFenceSync 0x6172111c
ptr_nvnCommandBufferSetTexturePool 0x61721120
ptr_nvnCommandBufferSetSamplerPool 0x61721124
ptr_nvnCommandBufferSetShaderScratchMemory 0x61721128
ptr_nvnCommandBufferSaveZCullData 0x6172112c
ptr_nvnCommandBufferRestoreZCullData 0x61721130
ptr_nvnCommandBufferSetCopyRowStride 0x61721134
ptr_nvnCommandBufferSetCopyImageStride 0x61721138
ptr_nvnCommandBufferGetCopyRowStride 0x6172113c
ptr_nvnCommandBufferGetCopyImageStride 0x61721140
ptr_nvnCommandBufferDrawTexture 0x61721144
ptr_nvnProgramSetSubroutineLinkage 0x61721148
ptr_nvnCommandBufferSetProgramSubroutines 0x6172114c
ptr_nvnCommandBufferBindCoverageModulationTable 0x61721150
ptr_nvnCommandBufferResolveDepthBuffer 0x61721154
ptr_nvnCommandBufferSetColorReductionEnable 0x61721158
ptr_nvnCommandBufferSetColorReductionThresholds 0x6172115c
ptr_nvnCommandBufferPushDebugGroupStatic 0x61721160
ptr_nvnCommandBufferPushDebugGroupDynamic 0x61721164
